Cropped Image Path,Text
all_cropped_images/dr1_1_1.jpg,Khalid sb 
all_cropped_images/dr1_1_2.jpg,Multan 
all_cropped_images/dr1_1_3.jpg,Urdu/english
all_cropped_images/dr1_1_4.jpg,81 
all_cropped_images/dr1_1_5.jpg,138/90 
all_cropped_images/dr1_1_6.jpg,Cap 
all_cropped_images/dr1_1_7.jpg,Losec 
all_cropped_images/dr1_1_8.jpg,20 
all_cropped_images/dr1_1_9.jpg,mg 
all_cropped_images/dr1_1_10.jpg,Cap 
all_cropped_images/dr1_1_11.jpg,Evian 
all_cropped_images/dr1_1_12.jpg,4 
all_cropped_images/dr1_1_13.jpg,mg 
all_cropped_images/dr1_1_14.jpg,Tab 
all_cropped_images/dr1_1_15.jpg,librax 
all_cropped_images/dr1_1_16.jpg,20 
all_cropped_images/dr1_1_17.jpg,Lagita Advance 
all_cropped_images/dr1_1_18.jpg,1+1+1 
all_cropped_images/dr1_1_19.jpg,رات 
all_cropped_images/dr1_1_20.jpg,کو 
all_cropped_images/dr1_1_21.jpg,لیں 
all_cropped_images/dr1_2_1.jpg,M Yasmen 
all_cropped_images/dr1_2_2.jpg,Multan 
all_cropped_images/dr1_2_3.jpg,55 
all_cropped_images/dr1_2_4.jpg,Tab 
all_cropped_images/dr1_2_5.jpg,Eto Od
all_cropped_images/dr1_2_6.jpg,Tab/Syrup/Injection
all_cropped_images/dr1_2_7.jpg,mg 
all_cropped_images/dr1_2_8.jpg,Cap 
all_cropped_images/dr1_2_9.jpg,Teph 
all_cropped_images/dr1_2_10.jpg,4 
all_cropped_images/dr1_2_11.jpg,mg 
all_cropped_images/dr1_2_12.jpg,Tab 
all_cropped_images/dr1_2_13.jpg,librax 
all_cropped_images/dr1_2_14.jpg,1+1 
all_cropped_images/dr1_2_15.jpg,Cap 
all_cropped_images/dr1_2_16.jpg,lagita Advance 
all_cropped_images/dr1_2_17.jpg,1+1 
all_cropped_images/dr1_2_18.jpg,Tab 
all_cropped_images/dr1_2_19.jpg,Laxoberon 
all_cropped_images/dr1_2_20.jpg,81 
all_cropped_images/dr10_1_1.jpg,weight
all_cropped_images/dr10_1_2.jpg,68
all_cropped_images/dr10_1_3.jpg,kg
all_cropped_images/dr10_1_4.jpg,62
all_cropped_images/dr10_1_5.jpg,85
all_cropped_images/dr10_1_6.jpg,100
all_cropped_images/dr10_1_7.jpg,100
all_cropped_images/dr10_1_8.jpg,70
all_cropped_images/dr10_1_9.jpg,1
all_cropped_images/dr10_1_10.jpg,50
all_cropped_images/dr10_1_11.jpg,mg
all_cropped_images/dr10_1_12.jpg,Tab
all_cropped_images/dr10_1_13.jpg,Qsartan
all_cropped_images/dr10_1_14.jpg,Tab
all_cropped_images/dr10_1_15.jpg,Vildomet
all_cropped_images/dr10_1_16.jpg,50
all_cropped_images/dr10_1_17.jpg,500
all_cropped_images/dr10_1_18.jpg,1
all_cropped_images/dr10_1_19.jpg,Tab
all_cropped_images/dr10_1_20.jpg,Xeelon Plus
all_cropped_images/dr10_1_21.jpg,-ve
all_cropped_images/dr10_1_22.jpg,RBS
all_cropped_images/dr10_1_23.jpg,DM
all_cropped_images/dr10_1_24.jpg,HTN
all_cropped_images/dr10_1_25.jpg,خالدشاہ صاحب
all_cropped_images/dr10_1_26.jpg,سال
all_cropped_images/dr10_1_27.jpg,صبح
all_cropped_images/dr10_1_28.jpg,صبح
all_cropped_images/dr10_1_29.jpg,رات
all_cropped_images/dr10_1_30.jpg,ماہ
all_cropped_images/dr10_1_31.jpg,کو
all_cropped_images/dr10_1_32.jpg,1
all_cropped_images/dr10_1_33.jpg,6
all_cropped_images/dr10_1_34.jpg,BSL
all_cropped_images/dr10_2_1.jpg,weight
all_cropped_images/dr10_2_2.jpg,74
all_cropped_images/dr10_2_3.jpg,kg
all_cropped_images/dr10_2_4.jpg,65
all_cropped_images/dr10_2_5.jpg,Tab
all_cropped_images/dr10_2_6.jpg,Metrozine
all_cropped_images/dr10_2_7.jpg,400
all_cropped_images/dr10_2_8.jpg,mg
all_cropped_images/dr10_2_9.jpg,1
all_cropped_images/dr10_2_10.jpg,7
all_cropped_images/dr10_2_11.jpg,Tab
all_cropped_images/dr10_2_12.jpg,Ciproxin
all_cropped_images/dr10_2_13.jpg,500
all_cropped_images/dr10_2_14.jpg,mg
all_cropped_images/dr10_2_15.jpg,1
all_cropped_images/dr10_2_16.jpg,1
all_cropped_images/dr10_2_17.jpg,5
all_cropped_images/dr10_2_18.jpg,Temprature
all_cropped_images/dr10_2_19.jpg,98.8
all_cropped_images/dr10_2_20.jpg,FBS
all_cropped_images/dr10_2_21.jpg,127
all_cropped_images/dr10_2_22.jpg,RBS
all_cropped_images/dr10_2_23.jpg,133
all_cropped_images/dr10_2_24.jpg,100
all_cropped_images/dr10_2_25.jpg,120/80
all_cropped_images/dr10_2_26.jpg,-ve
all_cropped_images/dr10_2_27.jpg,HTN
all_cropped_images/dr10_2_28.jpg,4
all_cropped_images/dr10_2_29.jpg,خالد شاہ صاحب
all_cropped_images/dr10_2_30.jpg,سال
all_cropped_images/dr10_2_31.jpg,صبح
all_cropped_images/dr10_2_32.jpg,رات
all_cropped_images/dr10_2_33.jpg,دن
all_cropped_images/dr10_2_34.jpg,صبح
all_cropped_images/dr10_2_35.jpg,رات
all_cropped_images/dr10_2_36.jpg,دن
all_cropped_images/dr10_2_37.jpg,DM
all_cropped_images/dr10_2_38.jpg,دوپہر
all_cropped_images/dr2_1_1.jpg, 
all_cropped_images/dr2_1_2.jpg,Panadol 
all_cropped_images/dr2_1_3.jpg,500 
all_cropped_images/dr2_1_4.jpg,Cap 
all_cropped_images/dr2_1_5.jpg,Cefspan 
all_cropped_images/dr2_1_6.jpg,400 
all_cropped_images/dr2_1_7.jpg,Tab 
all_cropped_images/dr2_1_8.jpg,Softin Od
all_cropped_images/dr2_1_9.jpg, 
all_cropped_images/dr2_1_10.jpg,Ventex 
all_cropped_images/dr2_1_11.jpg,10 
all_cropped_images/dr2_1_12.jpg,Syrup 
all_cropped_images/dr2_1_13.jpg,Acefyl 
all_cropped_images/dr2_1_14.jpg,یاسمہن بی بی 
all_cropped_images/dr2_1_15.jpg,60 
